clock,average_cpu,body_us,body_us_max,body_us_median,body_us_min,body_us_pc1,body_us_pc10,body_us_pc25,body_us_pc75,body_us_pc90,body_us_pc99,body_us_stddev,closed_error_count,closed_error_count_per_second,conn_count,conn_count_per_second,conn_us,conn_us_max,conn_us_median,conn_us_min,conn_us_pc1,conn_us_pc10,conn_us_pc25,conn_us_pc75,conn_us_pc90,conn_us_pc99,conn_us_stddev,headers_us,headers_us_max,headers_us_median,headers_us_min,headers_us_pc1,headers_us_pc10,headers_us_pc25,headers_us_pc75,headers_us_pc90,headers_us_pc99,headers_us_stddev,response_count,response_count_per_second,total_active_device_count,total_network_rx,total_network_tx
0,5.113934643098202e-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1,0.07019658807090573,895.0,13016,818.0,53,499.0,612.0,692.0,1010.0,1230.0,2080.0,363.0,59019,,59022,,513.0,999424,419.0,254,321.0,360.0,384.0,476.0,551.0,853.0,8220.0,996.0,1000448,882.0,490,657.0,733.0,790.0,1010.0,1160.0,1780.0,8220.0,59021,,3,69067626,975912
2,0.06964571252488667,965.0,5716,940.0,59,513.0,663.0,777.0,1120.0,1280.0,1730.0,261.0,118953,998.9,118954,998.8666666666667,475.0,997888,423.0,268,319.0,360.0,386.0,478.0,541.0,709.0,5760.0,953.0,998400,898.0,435,653.0,739.0,802.0,1010.0,1120.0,1390.0,5760.0,118953,998.8666666666667,1,69037000,1021710
3,0.07870604027234426,1020.0,3924,1.0e3,267,616.0,762.0,861.0,1160.0,1290.0,1660.0,219.0,178864,998.5166666666667,178865,998.5166666666667,462.0,999936,414.0,265,315.0,354.0,380.0,461.0,518.0,655.0,5770.0,934.0,1000448,885.0,482,652.0,737.0,798.0,985.0,1080.0,1280.0,5780.0,178865,998.5333333333333,2,68847937,1001568
4,0.07456926589043329,1010.0,6048,997.0,182,616.0,760.0,856.0,1150.0,1280.0,1.6e3,215.0,238764,998.3333333333334,238764,998.3166666666667,460.0,998912,413.0,246,315.0,354.0,379.0,459.0,513.0,647.0,5770.0,930.0,999424,881.0,491,655.0,736.0,795.0,980.0,1070.0,1270.0,5770.0,238764,998.3166666666667,1,69331176,1008750
5,0.07334777071651147,1140.0,7356,1130.0,29,688.0,857.0,978.0,1270.0,1420.0,1810.0,235.0,298648,998.0666666666667,298652,998.1333333333333,464.0,999936,418.0,260,316.0,356.0,382.0,464.0,516.0,645.0,5770.0,934.0,1000960,887.0,491,656.0,741.0,802.0,982.0,1070.0,1260.0,5780.0,298650,998.1,5,68962432,1050738
6,0.07406354874423313,1170.0,6524,1160.0,304,735.0,905.0,1020.0,1290.0,1430.0,1.8e3,220.0,358543,998.25,358543,998.1833333333333,446.0,998400,418.0,232,316.0,356.0,383.0,464.0,513.0,632.0,4080.0,917.0,998912,888.0,489,653.0,742.0,805.0,981.0,1070.0,1250.0,4080.0,358543,998.2166666666667,0,69147001,1061222
7,0.07100105243954588,1160.0,7744,1160.0,408,739.0,905.0,1020.0,1290.0,1420.0,1730.0,215.0,418414,997.85,418417,997.9,446.0,998912,418.0,260,315.0,355.0,382.0,463.0,514.0,631.0,4080.0,912.0,999936,884.0,510,652.0,739.0,801.0,976.0,1060.0,1230.0,4090.0,418415,997.8666666666667,5,68982955,1051368
8,0.08028387624869059,1160.0,8304,1160.0,412,745.0,906.0,1020.0,1290.0,1420.0,1730.0,212.0,478233,996.9833333333333,478236,996.9833333333333,477.0,999936,416.0,269,316.0,355.0,381.0,459.0,508.0,617.0,7070.0,945.0,1000448,884.0,470,653.0,740.0,801.0,975.0,1060.0,1230.0,7070.0,478236,997.0166666666667,4,68296722,1027854
9,0.07391832920327845,1160.0,5156,1150.0,286,741.0,905.0,1020.0,1290.0,1410.0,1730.0,209.0,538090,997.6166666666667,538090,997.5666666666667,446.0,998400,418.0,252,316.0,356.0,383.0,463.0,513.0,633.0,4080.0,911.0,998912,883.0,510,651.0,737.0,799.0,975.0,1060.0,1230.0,4080.0,538090,997.5666666666667,1,68998449,1055766
